#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:P17301	uniprotkb:P05556	irefindex:sgFsx72sEcXlYk3ezRbkVCseZiE9606	irefindex:2FKk9AhWYRSp7hJpMkAGPNvdc/Q9606	uniprotkb:ITA2_HUMAN|uniprotkb:ITGA2|uniprotkb:CD49B|uniprotkb:Platelet membrane glycoprotein Ia|uniprotkb:Collagen receptor|uniprotkb:VLA-2 subunit alpha|uniprotkb:CD49 antigen-like family member B|uniprotkb:ita2_human|intact:EBI-702960	uniprotkb:ITB1_HUMAN|uniprotkb:ITGB1|uniprotkb:FNRB|uniprotkb:MDF2|uniprotkb:MSK12|uniprotkb:Fibronectin receptor subunit beta|uniprotkb:VLA-4 subunit beta|uniprotkb:itb1_human|intact:EBI-703066	psi-mi:"MI:0369"(lex-a dimerization assay)|psi-mi:"MI:0369"(lex-a dimerization assay)|psi-mi:"MI:0006"(anti bait coimmunoprecipitation)|MI:0493|MI:0493|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0013"(biophysical)|psi-mi:"MI:0364"(inferred by curator)	Setty S et al. (1995)|Bodary SC et al. (1990)|Pfaff M et al. (1993)|Chung J et al. (1999)|Camper L et al. (1997)|Schneider D et al. (2004)|Rantala et al. (2011)|Schneider et al. (2004)	pubmed:8846021|pubmed:1690718|pubmed:8387021|pubmed:10397731|pubmed:9281592|pubmed:14681217|pubmed:14681455|imex:IM-16896|pubmed:21947080	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	psi-mi:"MI:0369"(physical association)|psi-mi:"MI:0369"(association)|psi-mi:"MI:0006"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0013"(association)|psi-mi:"MI:0364"(direct interaction)	psi-mi:"MI:0465"(DIP)|psi-mi:"MI:0468"(HPRD)|psi-mi:"MI:0469"(IntAct)	intact:EBI-5529391|intact:EBI-703266|intact:EBI-703334|intact:EBI-2565102	intact-miscore:0.66(free-text)|miscore:0.9101971
uniprotkb:P05556	uniprotkb:P13612	irefindex:2FKk9AhWYRSp7hJpMkAGPNvdc/Q9606	irefindex:bK+3WmhddIahEt3v8ibNJFJxW7s9606	uniprotkb:ITB1_HUMAN|uniprotkb:ITGB1|uniprotkb:FNRB|uniprotkb:MDF2|uniprotkb:MSK12|uniprotkb:Fibronectin receptor subunit beta|uniprotkb:VLA-4 subunit beta|uniprotkb:itb1_human|intact:EBI-703066	uniprotkb:ITA4_HUMAN|uniprotkb:ITGA4|uniprotkb:CD49D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD49 antigen-like family member D|uniprotkb:ita4_human|intact:EBI-703044	psi-mi:"MI:0369"(lex-a dimerization assay)|psi-mi:"MI:0369"(lex-a dimerization assay)|psi-mi:"MI:0006"(anti bait coimmunoprecipitation)|MI:0493|MI:0493|MI:0493|MI:0493|MI:0493|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0364"(inferred by curator)	Yakubenko VP et al. (2000)|Serru V et al. (1999)|Mannion BA et al. (1996)|Li Z et al. (2002)|Chen H et al. (1999)|Pinco KA et al. (2002)|Cunningham SA et al. (2002)|Schneider D et al. (2004)|Brittain JE et al. (2004)|Spessotto P et al. (2003)|Dominguez-Jimenez C et al. (1996)|Redondo-Munoz et al. (2010)|Schneider et al. (2004)	pubmed:11010812|pubmed:10229664|pubmed:8757325|pubmed:11980922|pubmed:9889149|pubmed:12221126|pubmed:12070135|pubmed:14681217|pubmed:15292185|pubmed:12456677|pubmed:9117345|pubmed:14681455|imex:IM-13601|pubmed:20159608	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	psi-mi:"MI:0369"(physical association)|psi-mi:"MI:0369"(association)|psi-mi:"MI:0006"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0364"(direct interaction)	psi-mi:"MI:0468"(HPRD)|psi-mi:"MI:0469"(IntAct)	intact:EBI-703300|intact:EBI-2565117|intact:EBI-703351|intact:EBI-2609328	intact-miscore:0.66(free-text)|author-score:weak interaction(free-text)|miscore:0.93079215
uniprotkb:P08648	uniprotkb:P05556	irefindex:JEdChKATrUtJ/pVcbyYGWHmV5gQ9606	irefindex:2FKk9AhWYRSp7hJpMkAGPNvdc/Q9606	uniprotkb:ITA5_HUMAN|uniprotkb:ITGA5|uniprotkb:FNRA|uniprotkb:Fibronectin receptor subunit alpha|uniprotkb:Integrin alpha-F|uniprotkb:VLA-5|uniprotkb:CD49 antigen-like family member E|uniprotkb:ita5_human|intact:EBI-1382311	uniprotkb:ITB1_HUMAN|uniprotkb:ITGB1|uniprotkb:FNRB|uniprotkb:MDF2|uniprotkb:MSK12|uniprotkb:Fibronectin receptor subunit beta|uniprotkb:VLA-4 subunit beta|uniprotkb:itb1_human|intact:EBI-703066	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)|psi-mi:"MI:0006"(anti bait coimmunoprecipitation)|MI:0493|MI:0493|MI:0493|MI:0493|MI:0493|MI:0493|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0364"(inferred by curator)	Wang XQ et al. (2003)|Jones JI et al. (1993)|Schütt BS et al. (2004)|Zhao T et al. (2001)|Akimov SS et al. (2000)|Nath D et al. (1999)|Humtsoe JO et al. (2005)|Trache A et al. (2005)|Wang et al. (2003)|Rantala et al. (2011)	pubmed:12724312|pubmed:7504269|pubmed:15171717|pubmed:11149921|pubmed:10684262|pubmed:9914169|pubmed:16099422|pubmed:16055535|pubmed:14681455|imex:IM-16896|pubmed:21947080	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	psi-mi:"MI:0006"(association)|psi-mi:"MI:0006"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0364"(direct interaction)	psi-mi:"MI:0469"(IntAct)|psi-mi:"MI:0468"(HPRD)	intact:EBI-5529394|intact:EBI-1382354|intact:EBI-2550721	intact-miscore:0.66(free-text)|miscore:0.91391057
uniprotkb:P35282	uniprotkb:P17301	irefindex:itRo1fqIEXnIpNEPOW+oxgSGQbE10090	irefindex:sgFsx72sEcXlYk3ezRbkVCseZiE9606	uniprotkb:Rab-12|uniprotkb:rab21_mouse|uniprotkb:Rab21|intact:EBI-1993555	uniprotkb:Platelet membrane glycoprotein Ia|uniprotkb:Collagen receptor|uniprotkb:VLA-2 subunit alpha|uniprotkb:CD49 antigen-like family member B|uniprotkb:CD49B|uniprotkb:ita2_human|uniprotkb:ITGA2|intact:EBI-702960	psi-mi:"MI:0029"(cosedimentation through density gradient)|psi-mi:"MI:0006"(anti bait coimmunoprecipitation)|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Pellinen et al. (2006)	pubmed:16754960	taxid:10090(Mouse)	taxid:9606(Human)	psi-mi:"MI:0029"(physical association)|psi-mi:"MI:0006"(physical association)|psi-mi:"MI:0018"(physical association)|psi-mi:"MI:0007"(physical association)	psi-mi:"MI:0469"(intact)	intact:EBI-2624736|intact:EBI-2624156|intact:EBI-2638310|intact:EBI-2624260|intact:EBI-2623938|intact:EBI-2624818|intact:EBI-2623986	intact-miscore:0.63(free-text)|miscore:0.62537384
uniprotkb:P07948	uniprotkb:P13612	irefindex:Gbnmm8F6ncA076odLfv9ghoOboo9606	irefindex:bK+3WmhddIahEt3v8ibNJFJxW7s9606	uniprotkb:JTK8|uniprotkb:Lck/Yes-related novel protein tyrosine kinase|uniprotkb:V-yes-1 Yamaguchi sarcoma viral related oncogene homolog|uniprotkb:p53Lyn|uniprotkb:p56Lyn|uniprotkb:lyn_human|uniprotkb:LYN|intact:EBI-79452	uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD49 antigen-like family member D|uniprotkb:CD49D|uniprotkb:ita4_human|uniprotkb:ITGA4|intact:EBI-703044	psi-mi:"MI:0663"(confocal microscopy)|psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Redondo-Munoz et al. (2010)	imex:IM-13601|pubmed:20159608	taxid:9606(Human)	taxid:9606(Human)	psi-mi:"MI:0663"(colocalization)|psi-mi:"MI:0006"(association)	psi-mi:"MI:0469"(intact)	intact:EBI-2609459|intact:EBI-2609467	intact-miscore:0.43(free-text)|miscore:0.42590037
uniprotkb:Q9H0F6	uniprotkb:P08648	irefindex:/nEi11gGd3bycSzeVPr3SfU/ryE9606	irefindex:JEdChKATrUtJ/pVcbyYGWHmV5gQ9606	uniprotkb:SIPL1|uniprotkb:Shank-associated RH domain-interacting protein|uniprotkb:Shank-interacting protein-like 1|uniprotkb:PSEC0216|uniprotkb:shrpn_human|uniprotkb:SHARPIN|intact:EBI-3942966	uniprotkb:FNRA|uniprotkb:Fibronectin receptor subunit alpha|uniprotkb:Integrin alpha-F|uniprotkb:VLA-5|uniprotkb:CD49 antigen-like family member E|uniprotkb:ita5_human|uniprotkb:ITGA5|intact:EBI-1382311	psi-mi:"MI:0055"(fluorescent resonance energy transfer)|psi-mi:"MI:0006"(anti bait coimmunoprecipitation)|psi-mi:"MI:0006"(anti bait coimmunoprecipitation)|psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Rantala et al. (2011)	imex:IM-16896|pubmed:21947080	taxid:9606(Human)	taxid:9606(Human)	psi-mi:"MI:0055"(physical association)|psi-mi:"MI:0006"(physical association)|psi-mi:"MI:0006"(association)|psi-mi:"MI:0007"(physical association)	psi-mi:"MI:0469"(intact)	intact:EBI-5529520|intact:EBI-5529394|intact:EBI-5529574|intact:EBI-5529244	intact-miscore:0.62(free-text)|miscore:0.62263304
chebi:"CHEBI:16618"	uniprotkb:P23229	irefindex:mZ+6zMU50I0/c9U0pfIAFHfAIxo-3	irefindex:E1+7GXE8oOvpzVORzNGHIWNNhmI9606	intact:EBI-1257125|intact:1-phosphatidyl-1d-myo-inositol 3,4,5-trisphosphate	uniprotkb:VLA-6|uniprotkb:CD49 antigen-like family member F|uniprotkb:ita6_human|uniprotkb:ITGA6|intact:EBI-2436548	psi-mi:"MI:0096"(pull down)|psi-mi:"MI:0004"(affinity chromatography technology)	Catimel et al. (2009)	imex:IM-17246|pubmed:19463016	-	taxid:9606(Human)	psi-mi:"MI:0096"(association)|psi-mi:"MI:0004"(association)	psi-mi:"MI:0469"(intact)	intact:EBI-4289959|intact:EBI-4289569	miscore:0.46174428
uniprotkb:Q9H0F6	uniprotkb:P17301	irefindex:/nEi11gGd3bycSzeVPr3SfU/ryE9606	irefindex:sgFsx72sEcXlYk3ezRbkVCseZiE9606	uniprotkb:SIPL1|uniprotkb:Shank-associated RH domain-interacting protein|uniprotkb:Shank-interacting protein-like 1|uniprotkb:PSEC0216|uniprotkb:shrpn_human|uniprotkb:SHARPIN|intact:EBI-3942966	uniprotkb:Platelet membrane glycoprotein Ia|uniprotkb:Collagen receptor|uniprotkb:VLA-2 subunit alpha|uniprotkb:CD49 antigen-like family member B|uniprotkb:CD49B|uniprotkb:ita2_human|uniprotkb:ITGA2|intact:EBI-702960	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)|psi-mi:"MI:0006"(anti bait coimmunoprecipitation)|psi-mi:"MI:0053"(fluorescence polarization spectroscopy)|psi-mi:"MI:0096"(pull down)|psi-mi:"MI:0096"(pull down)	Rantala et al. (2011)	imex:IM-16896|pubmed:21947080	taxid:9606(Human)	taxid:9606(Human)	psi-mi:"MI:0006"(physical association)|psi-mi:"MI:0006"(association)|psi-mi:"MI:0053"(direct interaction)|psi-mi:"MI:0096"(direct interaction)|psi-mi:"MI:0096"(physical association)	psi-mi:"MI:0469"(intact)	intact:EBI-5529391|intact:EBI-5528930|intact:EBI-5529031|intact:EBI-5529225|intact:EBI-5529002	intact-miscore:0.66(free-text)|miscore:0.6641885
uniprotkb:Q9EQL9	uniprotkb:P17301	irefindex:1SQpY4JgfQo04i589mXwaxlArgM10116	irefindex:sgFsx72sEcXlYk3ezRbkVCseZiE9606	uniprotkb:Shank-associated RH domain-interacting protein|uniprotkb:shrpn_rat|uniprotkb:Sharpin|intact:EBI-1394695	uniprotkb:Platelet membrane glycoprotein Ia|uniprotkb:Collagen receptor|uniprotkb:VLA-2 subunit alpha|uniprotkb:CD49 antigen-like family member B|uniprotkb:CD49B|uniprotkb:ita2_human|uniprotkb:ITGA2|intact:EBI-702960	psi-mi:"MI:0096"(pull down)	Rantala et al. (2011)	imex:IM-16896|pubmed:21947080	taxid:10116(Rat)	taxid:9606(Human)	psi-mi:"MI:0096"(physical association)	psi-mi:"MI:0469"(intact)	intact:EBI-5528892	intact-miscore:0.40(free-text)|miscore:0.40116468
uniprotkb:Q9EQL9	uniprotkb:P56199	irefindex:1SQpY4JgfQo04i589mXwaxlArgM10116	irefindex:VUF3jMv1ubv5CmI8ObKPwyDMq9Y9606	uniprotkb:Shank-associated RH domain-interacting protein|uniprotkb:shrpn_rat|uniprotkb:Sharpin|intact:EBI-1394695	uniprotkb:Laminin and collagen receptor|uniprotkb:VLA-1|uniprotkb:CD49 antigen-like family member A|uniprotkb:ita1_human|uniprotkb:ITGA1|intact:EBI-2554465	psi-mi:"MI:0096"(pull down)	Rantala et al. (2011)	imex:IM-16896|pubmed:21947080	taxid:10116(Rat)	taxid:9606(Human)	psi-mi:"MI:0096"(physical association)	psi-mi:"MI:0469"(intact)	intact:EBI-5528902	intact-miscore:0.40(free-text)|miscore:0.40116468
chebi:"CHEBI:61048"	uniprotkb:P08648	irefindex:GR6Dn+Ze/bg5fHz96l/7zA9djnI9606	irefindex:JEdChKATrUtJ/pVcbyYGWHmV5gQ9606	intact:EBI-5327879|intact:ganglioside_gm1	uniprotkb:FNRA|uniprotkb:Fibronectin receptor subunit alpha|uniprotkb:Integrin alpha-F|uniprotkb:VLA-5|uniprotkb:CD49 antigen-like family member E|uniprotkb:ita5_human|uniprotkb:ITGA5|intact:EBI-1382311	psi-mi:"MI:0013"(biophysical)	Jiang et al. (2012)	imex:IM-16985|pubmed:22106087	taxid:9606(Human)	taxid:9606(Human)	psi-mi:"MI:0013"(physical association)	psi-mi:"MI:0469"(intact)	intact:EBI-5327885	miscore:0.40116468
uniprotkb:P26006	uniprotkb:Q01955-PRO_0000279684	-	-	uniprotkb:ITGA3|matrixdb:P26006|matrixdb:ita3_human	uniprotkb:COL4A3|matrixdb:PFRAG_5_human|matrixdb:tumstatin	psi-mi:"MI:0019"(coimmunoprecipitation)	Boosani CS et al.	pubmed:17426256	taxid:9606(Human)	taxid:9606(Human)	psi-mi:"MI:0019"(physical association)	psi-mi:"MI:0917"(matrixdb)	matrixdb:P26006_PFRAG_5_human_17426256_1	miscore:0.40116468
